"eventID","higherGeography","verbatimLocality","site","locality","year","eventDate","minimumDepthinMeters","maximumDepthinMeters","samplingProtocol","samplingEffort","sampleSizeValue","decimalLongitude","decimalLatitude","geodeticDatum","Country","countryCode"
"83","BR:ReefSYN:SISBIOTA-MAR-video-plots:BrazilianCoast:costa_corais_ilha_do_meio_2013_video3","BrazilianCoast","ilha_do_meio","costa_corais","ilha_do_meio",2013,2013-03-10,2,2,"video plot",5,2,NA,NA,"decimal degrees","Brazil","BR"
"84","BR:ReefSYN:SISBIOTA-MAR-video-plots:BrazilianCoast:costa_corais_ilha_do_meio_2013_video5","BrazilianCoast","ilha_do_meio","costa_corais","ilha_do_meio",2013,2013-03-10,2,2,"video plot",5,2,NA,NA,"decimal degrees","Brazil","BR"
"85","BR:ReefSYN:SISBIOTA-MAR-video-plots:BrazilianCoast:costa_corais_ilha_do_meio_2013_video7","BrazilianCoast","ilha_do_meio","costa_corais","ilha_do_meio",2013,2013-03-10,2,2,"video plot",5,2,NA,NA,"decimal degrees","Brazil","BR"
"86","BR:ReefSYN:SISBIOTA-MAR-video-plots:BrazilianCoast:costa_corais_pirambu_2012_video2","BrazilianCoast","pirambu","costa_corais","pirambu",2012,2012-03-09,3.5,3.5,"video plot",4,2,NA,NA,"decimal degrees","Brazil","BR"
"87","BR:ReefSYN:SISBIOTA-MAR-video-plots:BrazilianCoast:costa_corais_pirambu_2012_video4","BrazilianCoast","pirambu","costa_corais","pirambu",2012,2012-03-09,3.5,3.5,"video plot",4,2,NA,NA,"decimal degrees","Brazil","BR"
"88","BR:ReefSYN:SISBIOTA-MAR-video-plots:BrazilianCoast:costa_corais_pirambu_2012_video6","BrazilianCoast","pirambu","costa_corais","pirambu",2012,2012-03-09,3.5,3.5,"video plot",4,2,NA,NA,"decimal degrees","Brazil","BR"
"89","BR:ReefSYN:SISBIOTA-MAR-video-plots:BrazilianCoast:costa_corais_pirambu_2012_video8","BrazilianCoast","pirambu","costa_corais","pirambu",2012,2012-03-09,3.5,3.5,"video plot",4,2,NA,NA,"decimal degrees","Brazil","BR"
"90","BR:ReefSYN:SISBIOTA-MAR-video-plots:BrazilianCoast:costa_corais_pirambu_2013_video1","BrazilianCoast","pirambu","costa_corais","pirambu",2013,2013-03-09,3.5,3.5,"video plot",7,2,NA,NA,"decimal degrees","Brazil","BR"
"91","BR:ReefSYN:SISBIOTA-MAR-video-plots:BrazilianCoast:costa_corais_pirambu_2013_video3","BrazilianCoast","pirambu","costa_corais","pirambu",2013,2013-03-09,3.5,3.5,"video plot",7,2,NA,NA,"decimal degrees","Brazil","BR"
"92","BR:ReefSYN:SISBIOTA-MAR-video-plots:BrazilianCoast:costa_corais_pirambu_2013_video4","BrazilianCoast","pirambu","costa_corais","pirambu",2013,2013-03-09,3.5,3.5,"video plot",7,2,NA,NA,"decimal degrees","Brazil","BR"
"93","BR:ReefSYN:SISBIOTA-MAR-video-plots:BrazilianCoast:costa_corais_pirambu_2013_video5","BrazilianCoast","pirambu","costa_corais","pirambu",2013,2013-03-09,3.5,3.5,"video plot",7,2,NA,NA,"decimal degrees","Brazil","BR"
"94","BR:ReefSYN:SISBIOTA-MAR-video-plots:BrazilianCoast:costa_corais_pirambu_2013_video6","BrazilianCoast","pirambu","costa_corais","pirambu",2013,2013-03-09,3.5,3.5,"video plot",7,2,NA,NA,"decimal degrees","Brazil","BR"
